City|State short|State full|County|City alias
Jennings|MI|Michigan|Missaukee|Jennings
Lowell|WI|Wisconsin|Dodge|Lowell
Bud|WV|West Virginia|Wyoming|Bud
Maytown|AL|Alabama|Jefferson|Maytown
Pleasant Plains|AR|Arkansas|Independence|Pleasant Plains
Opdyke|IL|Illinois|Jefferson|Opdyke
Ethan|SD|South Dakota|Davison|Ethan
Daviston|SC|South Carolina|Marion|Daviston
Rodey|NM|New Mexico|Doña Ana|Rodey
Moorhead|IA|Iowa|Monona|Moorhead
North Loup|NE|Nebraska|Valley|North Loup
Bolton Landing|NY|New York|Warren|Bolton Landing
Missouri City|MO|Missouri|Clay|Missouri City
Cromberg|CA|California|Plumas|Cromberg
Gorman|MD|Maryland|Garrett|Gorman
Grady|AR|Arkansas|Lincoln|Grady
Sand City|CA|California|Monterey|Sand City
Boston|IN|Indiana|Wayne|Boston
Kongiganak|AK|Alaska|Bethel|Kongiganak
Callao|MO|Missouri|Macon|Callao
Wheeler|WI|Wisconsin|Dunn|Wheeler
Dedham|IA|Iowa|Carroll|Dedham
Glen Allan|MS|Mississippi|Washington|Glen Allan
Guys Mills|PA|Pennsylvania|Crawford|Guys Mills
Holcomb|MS|Mississippi|Grenada|Holcomb
Cumberland|IA|Iowa|Cass|Cumberland
Nazareth|TX|Texas|Castro|Nazareth
Anniston|MO|Missouri|Mississippi|Anniston
Rensselaer|MO|Missouri|Ralls|Rensselaer
Bryant|IN|Indiana|Jay|Bryant
Sandy Ridge|PA|Pennsylvania|Centre|Sandy Ridge
Riverdale|MI|Michigan|Gratiot|Riverdale
Guinda|CA|California|Yolo|Guinda
Brocton|IL|Illinois|Edgar|Brocton
Smoketown|PA|Pennsylvania|Lancaster|Smoketown
Farley|MO|Missouri|Platte|Farley
Keswick|IA|Iowa|Keokuk|Keswick
La Grande|WA|Washington|Pierce|La Grande
Browntown|WI|Wisconsin|Green|Browntown
Bear Dance|MT|Montana|Lake|Bear Dance
North Bend|PA|Pennsylvania|Clinton|North Bend
Amasa|MI|Michigan|Iron|Amasa
Langston|AL|Alabama|Jackson|Langston
Tescott|KS|Kansas|Ottawa|Tescott
Pisgah|IA|Iowa|Harrison|Pisgah
Ransom|KS|Kansas|Ness|Ransom
Drifting|PA|Pennsylvania|Clearfield|Drifting
Dodson|LA|Louisiana|Winn|Dodson
Lineville|IA|Iowa|Wayne|Lineville
Morgan Heights|CO|Colorado|Morgan|Morgan Heights
Saline|LA|Louisiana|Bienville|Saline
Trent|TX|Texas|Taylor|Trent
Caroleen|NC|North Carolina|Rutherford|Caroleen
Emma|MO|Missouri|Lafayette|Emma
Douglas|NE|Nebraska|Otoe|Douglas
Belcher|LA|Louisiana|Caddo|Belcher
Wedderburn|OR|Oregon|Curry|Wedderburn
Sandy Hook|WI|Wisconsin|Grant|Sandy Hook
Colony|AL|Alabama|Cullman|Colony
Williston|OH|Ohio|Ottawa|Williston
Iaeger|WV|West Virginia|McDowell|Iaeger
Homa Hills|WY|Wyoming|Natrona|Homa Hills
Torboy|WA|Washington|Ferry|Torboy
Hanston|KS|Kansas|Hodgeman|Hanston
McCarr|KY|Kentucky|Pike|McCarr
Mooar|IA|Iowa|Lee|Mooar
Browning|MO|Missouri|Linn|Browning
Bluffton|MN|Minnesota|Otter Tail|Bluffton
Westport|OR|Oregon|Clatsop|Westport
Emeigh|PA|Pennsylvania|Cambria|Emeigh
Hornsby|TN|Tennessee|Hardeman|Hornsby
Garciasville|TX|Texas|Starr|Garciasville
Carson|ND|North Dakota|Grant|Carson
Hollansburg|OH|Ohio|Darke|Hollansburg
Stittville|NY|New York|Oneida|Stittville
Edison|WA|Washington|Skagit|Edison
Rochester|TX|Texas|Haskell|Rochester
St. Charles|AR|Arkansas|Arkansas|St. Charles
Spring Branch|TX|Texas|Comal|Spring Branch
Mohawk|MI|Michigan|Keweenaw|Mohawk
Rudolph|OH|Ohio|Wood|Rudolph
Kimberly|WV|West Virginia|Fayette|Kimberly
Rincon|NM|New Mexico|Doña Ana|Rincon
Grand Falls Plaza|MO|Missouri|Newton|Grand Falls Plaza
Weems|VA|Virginia|Lancaster|Weems
Lismore|MN|Minnesota|Nobles|Lismore
Fairlee|MD|Maryland|Kent|Fairlee
Hume|MO|Missouri|Bates|Hume
Havana|TX|Texas|Hidalgo|Havana
Ryegate|MT|Montana|Golden Valley|Ryegate
St. James|MI|Michigan|Charlevoix|St. James
Goldsboro|MD|Maryland|Caroline|Goldsboro
Scottsville|TX|Texas|Harrison|Scottsville
Jacksontown|OH|Ohio|Licking|Jacksontown
Venice|LA|Louisiana|Plaquemines|Venice
Laguna Seca|TX|Texas|Hidalgo|Laguna Seca
Grey Eagle|MN|Minnesota|Todd|Grey Eagle
Nuremberg|PA|Pennsylvania|Schuylkill|Nuremberg
Westbrook|TX|Texas|Mitchell|Westbrook
Salt Point|NY|New York|Dutchess|Salt Point
Holley|OR|Oregon|Linn|Holley
Ogema|WI|Wisconsin|Price|Ogema
Old Hundred|NC|North Carolina|Scotland|Old Hundred
Peavine|OK|Oklahoma|Adair|Peavine
Sanostee|NM|New Mexico|San Juan|Sanostee
Rhoadesville|VA|Virginia|Orange|Rhoadesville
Shelby|IN|Indiana|Lake|Shelby
Hainesburg|NJ|New Jersey|Warren|Hainesburg
Taylor|MS|Mississippi|Lafayette|Taylor
Oakford|IL|Illinois|Menard|Oakford
Mifflin|OH|Ohio|Ashland|Mifflin
Dutton|MT|Montana|Teton|Dutton
Dover|KY|Kentucky|Mason|Dover
Alexander|IL|Illinois|Morgan|Alexander
Sanctuary|TX|Texas|Parker|Sanctuary
Jobstown|NJ|New Jersey|Burlington|Jobstown
Lohman|MO|Missouri|Cole|Lohman
Walloon Lake|MI|Michigan|Charlevoix|Walloon Lake
Hayes Center|NE|Nebraska|Hayes|Hayes Center
Hammett|ID|Idaho|Elmore|Hammett
Hall|NY|New York|Ontario|Hall
Francis|OK|Oklahoma|Pontotoc|Francis
Oak Ridge|MO|Missouri|Cape Girardeau|Oak Ridge
Munich|ND|North Dakota|Cavalier|Munich
Centertown|TN|Tennessee|Warren|Centertown
Holmesville|OH|Ohio|Holmes|Holmesville
Mystic|IA|Iowa|Appanoose|Mystic
Medicine Bow|WY|Wyoming|Carbon|Medicine Bow
Crane|IN|Indiana|Martin|Crane
Fillmore|IL|Illinois|Montgomery|Fillmore
Gresham|NE|Nebraska|York|Gresham
Lodge Pole|MT|Montana|Blaine|Lodge Pole
Cottageville|WV|West Virginia|Jackson|Cottageville
Marquette|NE|Nebraska|Hamilton|Marquette
Bethune|CO|Colorado|Kit Carson|Bethune
Buckner|AR|Arkansas|Lafayette|Buckner
Bloomington|ID|Idaho|Bear Lake|Bloomington
East Poultney|VT|Vermont|Rutland|East Poultney
Orchard|TX|Texas|Fort Bend|Orchard
Marty|SD|South Dakota|Charles Mix|Marty
East Hope|ID|Idaho|Bonner|East Hope
Jamison City|PA|Pennsylvania|Columbia|Jamison City
Glen Richey|PA|Pennsylvania|Clearfield|Glen Richey
Raemon|NC|North Carolina|Robeson|Raemon
Olmsted|IL|Illinois|Pulaski|Olmsted
Lisbon|LA|Louisiana|Claiborne|Lisbon
Halifax|NC|North Carolina|Halifax|Halifax
Wall Lake|IN|Indiana|LaGrange|Wall Lake
Montezuma Creek|UT|Utah|San Juan|Montezuma Creek
Peterson|MN|Minnesota|Fillmore|Peterson
Upper Stewartsville|NJ|New Jersey|Warren|Upper Stewartsville
Woodland Hills|NE|Nebraska|Otoe|Woodland Hills
St. Peter|IL|Illinois|Fayette|St. Peter
Malden-on-Hudson|NY|New York|Ulster|Malden-on-Hudson
Hull|GA|Georgia|Madison|Hull
St. Petersburg|PA|Pennsylvania|Clarion|St. Petersburg
Harperville|MS|Mississippi|Scott|Harperville
Plum|TX|Texas|Fayette|Plum
Kistler|PA|Pennsylvania|Mifflin|Kistler
Roaring Springs|TX|Texas|Motley|Roaring Springs
Karthaus|PA|Pennsylvania|Clearfield|Karthaus
Drummond|MT|Montana|Granite|Drummond
Rewey|WI|Wisconsin|Iowa|Rewey
Brownsville|IN|Indiana|Union|Brownsville
Cove Neck|NY|New York|Nassau|Cove Neck
Granville|IA|Iowa|Sioux|Granville
Oakley|MI|Michigan|Saginaw|Oakley
Volga|IA|Iowa|Clayton|Volga
Ceylon|MN|Minnesota|Martin|Ceylon
Southampton Meadows|VA|Virginia|Southampton|Southampton Meadows
Eureka|WI|Wisconsin|Winnebago|Eureka
St. Mary|MO|Missouri|Ste. Genevieve|St. Mary
Jamestown|CO|Colorado|Boulder|Jamestown
Pauline|SC|South Carolina|Spartanburg|Pauline
Burkettsville|OH|Ohio|Mercer|Burkettsville
Houstonia|MO|Missouri|Pettis|Houstonia
Pleasant Grove|AR|Arkansas|Stone|Pleasant Grove
Grand Marais|MI|Michigan|Alger|Grand Marais
Central Pacolet|SC|South Carolina|Spartanburg|Central Pacolet
Morgan's Point|TX|Texas|Harris|Morgan's Point
Victoria|IL|Illinois|Knox|Victoria
Norene|TN|Tennessee|Wilson|Norene
Ida|LA|Louisiana|Caddo|Ida
Bloomville|NY|New York|Delaware|Bloomville
Pickstown|SD|South Dakota|Charles Mix|Pickstown
Kelly|WY|Wyoming|Teton|Kelly
Dupont|IN|Indiana|Jefferson|Dupont
Perry|IL|Illinois|Pike|Perry
Kaycee|WY|Wyoming|Johnson|Kaycee
Donovan|IL|Illinois|Iroquois|Donovan
Downsville|NY|New York|Delaware|Downsville
Kinta|OK|Oklahoma|Haskell|Kinta
Rushville|MO|Missouri|Buchanan|Rushville
Rock River|WY|Wyoming|Albany|Rock River
Harvel|IL|Illinois|Montgomery|Harvel
Noma|FL|Florida|Holmes|Noma
Broeck Pointe|KY|Kentucky|Jefferson|Broeck Pointe
Ivor|VA|Virginia|Southampton|Ivor
Kirkville|IA|Iowa|Wapello|Kirkville
Junction City|MO|Missouri|Madison|Junction City
Pleasant Grove|MD|Maryland|Allegany|Pleasant Grove
Lewisville|MN|Minnesota|Watonwan|Lewisville
Corinth|KY|Kentucky|Grant|Corinth
Savage Town|VA|Virginia|Accomack|Savage Town
Burnt Ranch|CA|California|Trinity|Burnt Ranch
Henderson|IL|Illinois|Knox|Henderson
Gurley|NE|Nebraska|Cheyenne|Gurley
Scotland|GA|Georgia|Telfair|Scotland
Westby|MT|Montana|Sheridan|Westby
San Simon|AZ|Arizona|Cochise|San Simon
Fairview|WV|West Virginia|Marion|Fairview
Madrid|AL|Alabama|Houston|Madrid
Harrell|AR|Arkansas|Calhoun|Harrell
Eau Claire|PA|Pennsylvania|Butler|Eau Claire
Antreville|SC|South Carolina|Abbeville|Antreville
Renwick|IA|Iowa|Humboldt|Renwick
Richfield|CA|California|Tehama|Richfield
Woolsey|GA|Georgia|Fayette|Woolsey
Irwin|ID|Idaho|Bonneville|Irwin
Madrid|NE|Nebraska|Perkins|Madrid
Dellroy|OH|Ohio|Carroll|Dellroy
Buckingham Courthouse|VA|Virginia|Buckingham|Buckingham Courthouse
Mountain|WI|Wisconsin|Oconto|Mountain
Crisman|CO|Colorado|Boulder|Crisman
Coffee Springs|AL|Alabama|Geneva|Coffee Springs
Broaddus|TX|Texas|San Augustine|Broaddus
Blue Mound|KS|Kansas|Linn|Blue Mound
Lamont|OK|Oklahoma|Grant|Lamont
West Sullivan|MO|Missouri|Crawford|West Sullivan
Chelyan|WV|West Virginia|Kanawha|Chelyan
Thompsons|TX|Texas|Fort Bend|Thompsons
New Ringgold|PA|Pennsylvania|Schuylkill|New Ringgold
Stella|MO|Missouri|Newton|Stella
Blakesburg|IA|Iowa|Wapello|Blakesburg
High Hill|MO|Missouri|Montgomery|High Hill
Ponderosa|NM|New Mexico|Sandoval|Ponderosa
New Point|IN|Indiana|Decatur|New Point
Nason|IL|Illinois|Jefferson|Nason
Rosalie|NE|Nebraska|Thurston|Rosalie
Bryant|IL|Illinois|Fulton|Bryant
Bliss|ID|Idaho|Gooding|Bliss
Wanship|UT|Utah|Summit|Wanship
Fallston|PA|Pennsylvania|Beaver|Fallston
Catharine|KS|Kansas|Ellis|Catharine
Campton|KY|Kentucky|Wolfe|Campton
Lava Hot Springs|ID|Idaho|Bannock|Lava Hot Springs
Stickney|SD|South Dakota|Aurora|Stickney
Chemung|IL|Illinois|McHenry|Chemung
Chauncey|WV|West Virginia|Logan|Chauncey
Applegate|MI|Michigan|Sanilac|Applegate
Coulter|IA|Iowa|Franklin|Coulter
Bellewood|KY|Kentucky|Jefferson|Bellewood
Roswell|OH|Ohio|Tuscarawas|Roswell
Nakaibito|NM|New Mexico|McKinley|Nakaibito
Mize|MS|Mississippi|Smith|Mize
Boydton|VA|Virginia|Mecklenburg|Boydton
Lake Lorraine|WI|Wisconsin|Walworth|Lake Lorraine
Wallace|WV|West Virginia|Harrison|Wallace
Ridgeway|OH|Ohio|Logan|Ridgeway
Fox|AR|Arkansas|Stone|Fox
Hilltop|GA|Georgia|Pike|Hilltop
Bon Air|TN|Tennessee|White|Bon Air
Millhousen|IN|Indiana|Decatur|Millhousen
Ebro|FL|Florida|Washington|Ebro
La Sal|UT|Utah|San Juan|La Sal
La Rosita|TX|Texas|Starr|La Rosita
Maplewood Park|OH|Ohio|Trumbull|Maplewood Park
Brimfield|IN|Indiana|Noble|Brimfield
Spokane|MO|Missouri|Christian|Spokane
Philadelphia|MO|Missouri|Marion|Philadelphia
Toronto|KS|Kansas|Woodson|Toronto
Hinsdale|MT|Montana|Valley|Hinsdale
Lincoln|MI|Michigan|Alcona|Lincoln
Rockland|MI|Michigan|Ontonagon|Rockland
Yankee Hill|NE|Nebraska|Lancaster|Yankee Hill
Norwood|LA|Louisiana|East Feliciana|Norwood
Carolina|AL|Alabama|Covington|Carolina
Centerview|MO|Missouri|Johnson|Centerview
Turley|NM|New Mexico|San Juan|Turley
Schuyler|VA|Virginia|Nelson|Schuyler
Villanueva|NM|New Mexico|San Miguel|Villanueva
Newtown|IN|Indiana|Fountain|Newtown
Pembine|WI|Wisconsin|Marinette|Pembine
East Rochester|OH|Ohio|Columbiana|East Rochester
Downing|WI|Wisconsin|Dunn|Downing
Alberta|VA|Virginia|Brunswick|Alberta
Stratton|OH|Ohio|Jefferson|Stratton
New Gretna|NJ|New Jersey|Burlington|New Gretna
Worley|ID|Idaho|Kootenai|Worley
Hill View Heights|WY|Wyoming|Weston|Hill View Heights
Coffman Cove|AK|Alaska|Prince of Wales-Hyder|Coffman Cove
Wahkon|MN|Minnesota|Mille Lacs|Wahkon
Wellton Hills|AZ|Arizona|Yuma|Wellton Hills
Pocahontas|TN|Tennessee|Hardeman|Pocahontas
Lakota|IA|Iowa|Kossuth|Lakota
Laclede|MO|Missouri|Linn|Laclede
Grand Lake Towne|OK|Oklahoma|Mayes|Grand Lake Towne
Annona|TX|Texas|Red River|Annona
Hosmer|SD|South Dakota|Edmunds|Hosmer
Buckland|OH|Ohio|Auglaize|Buckland
Greenway|AR|Arkansas|Clay|Greenway
Renner Corner|SD|South Dakota|Minnehaha|Renner Corner
Oakville|IN|Indiana|Delaware|Oakville
Sycamore|OK|Oklahoma|Delaware|Sycamore
Hamilton|WA|Washington|Skagit|Hamilton
Riverview|AL|Alabama|Escambia|Riverview
Stotts City|MO|Missouri|Lawrence|Stotts City
Big Creek|WV|West Virginia|Logan|Big Creek
Maywood|NE|Nebraska|Frontier|Maywood
Prescott|IA|Iowa|Adams|Prescott
Marquette|WI|Wisconsin|Green Lake|Marquette
St. John|ND|North Dakota|Rolette|St. John
Beaver Creek|MN|Minnesota|Rock|Beaver Creek
Garden Farms|CA|California|San Luis Obispo|Garden Farms
Holland|MN|Minnesota|Pipestone|Holland
Velarde|NM|New Mexico|Rio Arriba|Velarde
Mill Creek|OK|Oklahoma|Johnston|Mill Creek
Ronald|WA|Washington|Kittitas|Ronald
Madrid|NM|New Mexico|Santa Fe|Madrid
New Eucha|OK|Oklahoma|Delaware|New Eucha
Pillow|PA|Pennsylvania|Dauphin|Pillow
Faceville|GA|Georgia|Decatur|Faceville
Freistatt|MO|Missouri|Lawrence|Freistatt
Odell|NE|Nebraska|Gage|Odell
Elmira|CA|California|Solano|Elmira
Rives|TN|Tennessee|Obion|Rives
Lillie|LA|Louisiana|Union|Lillie
Monroe|NE|Nebraska|Platte|Monroe
Twin Rocks|PA|Pennsylvania|Cambria|Twin Rocks
Oconee|GA|Georgia|Washington|Oconee
Gordon|OH|Ohio|Darke|Gordon
Robertsville|OH|Ohio|Stark|Robertsville
Arroyo Gardens|TX|Texas|Cameron|Arroyo Gardens
Twilight|PA|Pennsylvania|Washington|Twilight
Newton Hamilton|PA|Pennsylvania|Mifflin|Newton Hamilton
Raisin City|CA|California|Fresno|Raisin City
No Name|CO|Colorado|Garfield|No Name
Lower Santan Village|AZ|Arizona|Pinal|Lower Santan Village
Napoleon|IN|Indiana|Ripley|Napoleon
Saulsbury|TN|Tennessee|Hardeman|Saulsbury
Dune Acres|IN|Indiana|Porter|Dune Acres
Nile|WA|Washington|Yakima|Nile
Butler|IL|Illinois|Montgomery|Butler
Boone|CO|Colorado|Pueblo|Boone
Maple Falls|WA|Washington|Whatcom|Maple Falls
Fair Oaks|OR|Oregon|Douglas|Fair Oaks
Wellsville|PA|Pennsylvania|York|Wellsville
Omer|MI|Michigan|Arenac|Omer
Kiron|IA|Iowa|Crawford|Kiron
Joyce|LA|Louisiana|Winn|Joyce
Loganville|WI|Wisconsin|Sauk|Loganville
Coldiron|KY|Kentucky|Harlan|Coldiron
Jim Falls|WI|Wisconsin|Chippewa|Jim Falls
Grand View-on-Hudson|NY|New York|Rockland|Grand View-on-Hudson
Ballou|OK|Oklahoma|Mayes|Ballou
Kane|IL|Illinois|Greene|Kane
Meadow|UT|Utah|Millard|Meadow
Markleysburg|PA|Pennsylvania|Fayette|Markleysburg
Glenwood|WA|Washington|Klickitat|Glenwood
Fredonia|AL|Alabama|Chambers|Fredonia
Mount Gretna Heights|PA|Pennsylvania|Lebanon|Mount Gretna Heights
Villard|MN|Minnesota|Pope|Villard
Weogufka|AL|Alabama|Coosa|Weogufka
Arona|PA|Pennsylvania|Westmoreland|Arona
Willard|NM|New Mexico|Torrance|Willard
Donnelly|MN|Minnesota|Stevens|Donnelly
Alfred|TX|Texas|Jim Wells|Alfred
Henry|SD|South Dakota|Codington|Henry
Nobleton|FL|Florida|Hernando|Nobleton
Bakersfield|MO|Missouri|Ozark|Bakersfield
Jeddito|AZ|Arizona|Navajo|Jeddito
Medanales|NM|New Mexico|Rio Arriba|Medanales
Dunbar|NE|Nebraska|Otoe|Dunbar
West Danby|NY|New York|Tompkins|West Danby
Sherando|VA|Virginia|Augusta|Sherando
Snowville|UT|Utah|Box Elder|Snowville
Schaefer Lake|IN|Indiana|Bartholomew|Schaefer Lake
Asbury|NJ|New Jersey|Warren|Asbury
Kelford|NC|North Carolina|Bertie|Kelford
Pineville|AR|Arkansas|Izard|Pineville
Chula Vista|TX|Texas|Zavala|Chula Vista
Bristol|SD|South Dakota|Day|Bristol
Braxton|MS|Mississippi|Simpson|Braxton
Henning|IL|Illinois|Vermilion|Henning
Laotto|IN|Indiana|Noble|Laotto
McClure|IL|Illinois|Alexander|McClure
Wallaceton|PA|Pennsylvania|Clearfield|Wallaceton
Elrod|NC|North Carolina|Robeson|Elrod
Ewing|KY|Kentucky|Fleming|Ewing
Drake|ND|North Dakota|McHenry|Drake
Hebron|TX|Texas|Denton|Hebron
White Oak|OK|Oklahoma|Craig|White Oak
Bear Lake|MI|Michigan|Kalkaska|Bear Lake
Kinderhook|IL|Illinois|Pike|Kinderhook
Scranton|AR|Arkansas|Logan|Scranton
Suissevale|NH|New Hampshire|Carroll|Suissevale
Flint Hill|VA|Virginia|Rappahannock|Flint Hill
Lake George|MN|Minnesota|Hubbard|Lake George
Dougherty|OK|Oklahoma|Murray|Dougherty
Leonard|ND|North Dakota|Cass|Leonard
Kingsbury|IN|Indiana|LaPorte|Kingsbury
West Point|IL|Illinois|Hancock|West Point
Wildwood|GA|Georgia|Dade|Wildwood
Canal Point|FL|Florida|Palm Beach|Canal Point
Butteville|OR|Oregon|Marion|Butteville
Ruby|SC|South Carolina|Chesterfield|Ruby
Savage|MT|Montana|Richland|Savage
Avant|OK|Oklahoma|Osage|Avant
Chesterfield|IL|Illinois|Macoupin|Chesterfield
Pattonsburg|MO|Missouri|Daviess|Pattonsburg
Oliver|GA|Georgia|Screven|Oliver
Pleasant Dale|NE|Nebraska|Seward|Pleasant Dale
Holcombe|WI|Wisconsin|Chippewa|Holcombe
Cedar Grove|IN|Indiana|Franklin|Cedar Grove
Golf|FL|Florida|Palm Beach|Golf
Phoenicia|NY|New York|Ulster|Phoenicia
Watha|NC|North Carolina|Pender|Watha
Grand Isle|ME|Maine|Aroostook|Grand Isle
Grainfield|KS|Kansas|Gove|Grainfield
Valle Crucis|NC|North Carolina|Watauga|Valle Crucis
Waterford|VA|Virginia|Loudoun|Waterford
Windsor|SC|South Carolina|Aiken|Windsor
Radisson|WI|Wisconsin|Sawyer|Radisson
Redford|NY|New York|Clinton|Redford
Risco|MO|Missouri|New Madrid|Risco
Double Spring|NV|Nevada|Douglas|Double Spring
Harrison|ID|Idaho|Kootenai|Harrison
Chewton|PA|Pennsylvania|Lawrence|Chewton
Vibbard|MO|Missouri|Ray|Vibbard
South Milford|IN|Indiana|LaGrange|South Milford
Pine Lakes Addition|SD|South Dakota|Minnehaha|Pine Lakes Addition
Christoval|TX|Texas|Tom Green|Christoval
Medon|TN|Tennessee|Madison|Medon
Trowbridge|CA|California|Sutter|Trowbridge
Edwardsville|AL|Alabama|Cleburne|Edwardsville
Hanlontown|IA|Iowa|Worth|Hanlontown
Fancy Gap|VA|Virginia|Carroll|Fancy Gap
Sylvania|PA|Pennsylvania|Bradford|Sylvania
Afton|VA|Virginia|Nelson|Afton
Axis|AL|Alabama|Mobile|Axis
Anchor|IL|Illinois|McLean|Anchor
Pomona|MO|Missouri|Howell|Pomona
Modest Town|VA|Virginia|Accomack|Modest Town
Westport|KY|Kentucky|Oldham|Westport
Glezen|IN|Indiana|Pike|Glezen
Maalaea|HI|Hawaii|Maui|Maalaea
Canadian|OK|Oklahoma|Pittsburg|Canadian
Hills and Dales|OH|Ohio|Stark|Hills and Dales
Rocky|OK|Oklahoma|Washita|Rocky
Batavia|WI|Wisconsin|Sheboygan|Batavia
Franklin|AR|Arkansas|Izard|Franklin
Kirkpatrick|OR|Oregon|Umatilla|Kirkpatrick
Richview|IL|Illinois|Washington|Richview
Alma|CO|Colorado|Park|Alma
Currie|MN|Minnesota|Murray|Currie
Medina|ND|North Dakota|Stutsman|Medina
Anthoston|KY|Kentucky|Henderson|Anthoston
Dutchtown|MO|Missouri|Cape Girardeau|Dutchtown
Lewisburg|LA|Louisiana|St. Tammany|Lewisburg
Graball|TN|Tennessee|Sumner|Graball
Waterloo|OR|Oregon|Linn|Waterloo
Cree Lake|IN|Indiana|Noble|Cree Lake
Bluewater|NM|New Mexico|McKinley|Bluewater
Golden Valley|ND|North Dakota|Mercer|Golden Valley
Swanville|MN|Minnesota|Morrison|Swanville
Glendo|WY|Wyoming|Platte|Glendo
Union Center|WI|Wisconsin|Juneau|Union Center
McMullin|VA|Virginia|Smyth|McMullin
Cazenovia|WI|Wisconsin|Richland|Cazenovia
Jerico Springs|MO|Missouri|Cedar|Jerico Springs
Aspen Springs|CA|California|Mono|Aspen Springs
Kensett|IA|Iowa|Worth|Kensett
Vergas|MN|Minnesota|Otter Tail|Vergas
Blevins|AR|Arkansas|Hempstead|Blevins
Lebanon|OK|Oklahoma|Marshall|Lebanon
La Ward|TX|Texas|Jackson|La Ward
Toxey|AL|Alabama|Choctaw|Toxey
Wilmont|MN|Minnesota|Nobles|Wilmont
Leesville|OH|Ohio|Carroll|Leesville
Somerset|IN|Indiana|Wabash|Somerset
Harcourt|IA|Iowa|Webster|Harcourt
Goodell|IA|Iowa|Hancock|Goodell
Clearwater|NE|Nebraska|Antelope|Clearwater
Uehling|NE|Nebraska|Dodge|Uehling
Hardtner|KS|Kansas|Barber|Hardtner
Tangier|VA|Virginia|Accomack|Tangier
Totah Vista|NM|New Mexico|San Juan|Totah Vista
Milton Center|OH|Ohio|Wood|Milton Center
Lyon Mountain|NY|New York|Clinton|Lyon Mountain
Gladstone|ND|North Dakota|Stark|Gladstone
La Yuca|PR|Puerto Rico|Ponce|La Yuca
Marengo|OH|Ohio|Morrow|Marengo
Omena|MI|Michigan|Leelanau|Omena
Oktaha|OK|Oklahoma|Muskogee|Oktaha
Hazleton|IN|Indiana|Gibson|Hazleton
Darbyville|OH|Ohio|Pickaway|Darbyville
Ridgeway|SC|South Carolina|Fairfield|Ridgeway
Aquilla|OH|Ohio|Geauga|Aquilla
Sunshine|CO|Colorado|Boulder|Sunshine
Westpoint|TN|Tennessee|Lawrence|Westpoint
Mitchellville|AR|Arkansas|Desha|Mitchellville
Tedrow|OH|Ohio|Fulton|Tedrow
Belfry|MT|Montana|Carbon|Belfry
Navajo Dam|NM|New Mexico|San Juan|Navajo Dam
Fort Apache|AZ|Arizona|Navajo|Fort Apache
Moro|AR|Arkansas|Lee|Moro
Cornwall Bridge|CT|Connecticut|Northwest Hills|Cornwall Bridge
Yogaville|VA|Virginia|Buckingham|Yogaville
Jeff|KY|Kentucky|Perry|Jeff
Roots|PA|Pennsylvania|Blair|Roots
Monroe|SD|South Dakota|Turner|Monroe
Goldsmith|IN|Indiana|Tipton|Goldsmith
Bear Valley|CA|California|Mariposa|Bear Valley
Mount Hope|WI|Wisconsin|Grant|Mount Hope
Barryville|NY|New York|Sullivan|Barryville
Hanalei|HI|Hawaii|Kauai|Hanalei
Dendron|VA|Virginia|Surry|Dendron
Middleberg|OK|Oklahoma|Grady|Middleberg
Union|NE|Nebraska|Cass|Union
Hinkletown|PA|Pennsylvania|Lancaster|Hinkletown
North Bay|WI|Wisconsin|Racine|North Bay
Fingerville|SC|South Carolina|Spartanburg|Fingerville
Reynoldsville|WV|West Virginia|Harrison|Reynoldsville
Sobieski|WI|Wisconsin|Oconto|Sobieski
Heath|AL|Alabama|Covington|Heath
Raleigh|IL|Illinois|Saline|Raleigh
Salisbury Center|NY|New York|Herkimer|Salisbury Center
Campbellton|FL|Florida|Jackson|Campbellton
Green Bluff|WA|Washington|Spokane|Green Bluff
Somerville|IN|Indiana|Gibson|Somerville
Camp Dennison|OH|Ohio|Hamilton|Camp Dennison
Linn Grove|IN|Indiana|Adams|Linn Grove
Labish Village|OR|Oregon|Marion|Labish Village
Evergreen|LA|Louisiana|Avoyelles|Evergreen
Lydia|SC|South Carolina|Darlington|Lydia
Coffeeville|AL|Alabama|Clarke|Coffeeville
Bushton|KS|Kansas|Rice|Bushton
Uniopolis|OH|Ohio|Auglaize|Uniopolis
Alcalde|NM|New Mexico|Rio Arriba|Alcalde
Lima|MT|Montana|Beaverhead|Lima
Taylor Ridge|IL|Illinois|Rock Island|Taylor Ridge
Deferiet|NY|New York|Jefferson|Deferiet
Kipton|OH|Ohio|Lorain|Kipton
Doland|SD|South Dakota|Spink|Doland
Hartleton|PA|Pennsylvania|Union|Hartleton
Magnolia|DE|Delaware|Kent|Magnolia
Westcreek|CO|Colorado|Douglas|Westcreek
Shamrock Lakes|IN|Indiana|Blackford|Shamrock Lakes
Hiddenite|NC|North Carolina|Alexander|Hiddenite
Black Sands|HI|Hawaii|Hawaii|Black Sands
Burlington|WY|Wyoming|Big Horn|Burlington
Bowersville|OH|Ohio|Greene|Bowersville
Mount Hermon|NJ|New Jersey|Warren|Mount Hermon
Riggins|ID|Idaho|Idaho|Riggins
Hortense|GA|Georgia|Brantley|Hortense
Woodlawn|AR|Arkansas|Cleveland|Woodlawn
Proctor|OK|Oklahoma|Adair|Proctor
